"title","locality","price","url","image"
"For sale apartment 3+1 75 m²","Litvínovská, Praha 9 - Prosek","6 990 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/praha-prosek-litvinovska/1201153100","https://d18-a.sdn.cz/d_18/c_img_QL_Jy/4QNBmii.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 60 m²","Zakšínská, Praha 9 - Střížkov","7 000 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-strizkov-zaksinska/3692909644","https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/9k2CDTQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 75 m²","Malešická, Praha 3 - Žižkov","8 990 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-zizkov-malesicka/682792268","https://d18-a.sdn.cz/d_18/c_img_QP_LF/36jDCi.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 60 m² (Mezonet)","Seifertova, Praha 3 - Žižkov","9 850 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-zizkov-seifertova/1588294732","https://d18-a.sdn.cz/d_18/c_img_QR_MC/4HbGFr.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 63 m² (Mezonet)","Seifertova, Praha 3 - Žižkov","9 950 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-zizkov-seifertova/3215684684","https://d18-a.sdn.cz/d_18/c_img_QI_Jg/3htGKy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 123 m² (Mezonet)","Pernerova, Praha 8 - Karlín","Information about price at agency","https://sreality.cz/en/detail/sale/flat/3+1/praha-karlin-pernerova/4066219852","https://d18-a.sdn.cz/d_18/c_img_QJ_Jm/OtQFyg.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 5+kt 155 m² (Mezonet)","Pernerova, Praha 8 - Karlín","Information about price at agency","https://sreality.cz/en/detail/sale/flat/5+kt/praha-karlin-pernerova/576558924","https://d18-a.sdn.cz/d_18/c_img_QJ_Jm/yFzFyb.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 97 m² (Mezonet)","Turnovská, Praha 8 - Libeň","11 950 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/praha-liben-turnovska/4138345548","https://d18-a.sdn.cz/d_18/c_img_QR_ME/H0P9lv.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+kt 43 m²","V Háji, Praha 7 - Holešovice","6 795 819 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/praha-holesovice-v-haji/3984921676","https://d18-a.sdn.cz/d_18/c_img_QJ_Jq/pzXBoLv.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 46 m²","Uzavřená, Praha 8 - Kobylisy","5 290 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-kobylisy-uzavrena/360617292","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/rMmZW5.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 57 m²","Družstevní ochoz, Praha 4 - Nusle","7 044 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/praha-nusle-druzstevni-ochoz/3698541644","https://d18-a.sdn.cz/d_18/c_img_QN_J9/UaAwEJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 48 m²","Sinkulova, Praha 4 - Nusle","6 210 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-nusle-sinkulova/3861603404","https://d18-a.sdn.cz/d_18/c_img_QM_Kb/YRoBJ1H.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 74 m²","V Horní Stromce, Praha 3 - Vinohrady","10 690 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/praha-vinohrady-v-horni-stromce/3114308684","https://d18-a.sdn.cz/d_18/c_img_gW_q/OtQ22c.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 101 m² (Mezonet)","Železná Ruda - Špičák, district Klatovy","13 890 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/zelezna-ruda-spicak-/968004940","https://d18-a.sdn.cz/d_18/c_img_QK_Jq/myFDsx.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+1 74 m²","K Hájku, Nová Paka","4 100 000 CZK","https://sreality.cz/en/detail/sale/flat/4+1/nova-paka-nova-paka-k-hajku/162698572","https://d18-a.sdn.cz/d_18/c_img_QK_Jq/OqIDsu.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 40 m²","Bílkova, Praha - Praha 1","9 900 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-praha-1-bilkova/3134514252","https://d18-a.sdn.cz/d_18/c_img_gW_q/e4tBXfJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 97 m²","Karlovarská, Mariánské Lázně","3 098 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/marianske-lazne-marianske-lazne-karlovarska/1504875852","https://d18-a.sdn.cz/d_18/c_img_QK_Jq/Xn2Dsn.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 60 m²","Sídliště F. Hrubína, Chlum u Třeboně","2 420 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/chlum-u-trebone-chlum-u-trebone-sidliste-f--hrubina/785986636","https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/dklBnsX.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+1 43 m²","Jana Zajíce, Turnov","2 750 000 CZK","https://sreality.cz/en/detail/sale/flat/1+1/turnov-turnov-jana-zajice/4189230412","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/ND7Buy5.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+kt 68 m²","Rákosová, Vestec","6 490 000 CZK","https://sreality.cz/en/detail/sale/flat/3+kt/vestec-vestec-rakosova/1857197388","https://d18-a.sdn.cz/d_18/c_img_QJ_Jq/wP8BuIu.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 43 m²","Kálikova, Praha 5 - Stodůlky","4 450 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-stodulky-kalikova/3440845900","https://d18-a.sdn.cz/d_18/c_img_QQ_Lj/4twCEy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+kt 206 m²","Plzeňská, Praha 5 - Stodůlky","Information about price at agency","https://sreality.cz/en/detail/sale/flat/4+kt/praha-stodulky-plzenska/3640357964","https://d18-a.sdn.cz/d_18/c_img_QP_K3/WDgHlK.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+1 31 m²","Rudé armády, Mníšek pod Brdy","3 650 000 CZK","https://sreality.cz/en/detail/sale/flat/1+1/mnisek-pod-brdy-mnisek-pod-brdy-rude-armady/3033175372","https://d18-a.sdn.cz/d_18/c_img_QL_J7/sEbD4W.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+1 83 m²","Josefy Faimonové, Brno - Líšeň","7 290 000 CZK","https://sreality.cz/en/detail/sale/flat/4+1/brno-lisen-josefy-faimonove/3286541644","https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/kllsB6.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+kt 118 m²","Linhartova, Praha - Košíře","Information about price at agency","https://sreality.cz/en/detail/sale/flat/4+kt/praha-kosire-linhartova/3170002764","https://d18-a.sdn.cz/d_18/c_img_QI_Jj/poj6s3.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 5+kt 265 m²","Pařížská, Praha - Praha 1","Information about price at agency","https://sreality.cz/en/detail/sale/flat/5+kt/praha-praha-1-parizska/3609708108","https://d18-a.sdn.cz/d_18/c_img_QO_K0/I6kCDiY.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+1 67 m²","Šestidomí, Praha 6 - Bubeneč","6 950 000 CZK","https://sreality.cz/en/detail/sale/flat/2+1/praha-bubenec-sestidomi/3836568652","https://d18-a.sdn.cz/d_18/c_img_QI_Jj/OfAcBT.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+kt 40 m²","U spořitelny, Praha - Modřany","5 480 000 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/praha-modrany-u-sporitelny/2367226956","https://d18-a.sdn.cz/d_18/c_img_QK_Jq/giQCGd.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 57 m²","Praha 7 - Holešovice","8 990 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-holesovice-/3359282508","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/KExMSO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 84 m²","Karoliny Světlé, Praha 1 - Staré Město","14 630 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/praha-stare-mesto-karoliny-svetle/2231063628","https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/c4xbop.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 43 m²","Hábova, Praha - Stodůlky","7 578 049 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-stodulky-habova/3075359820","https://d18-a.sdn.cz/d_18/c_img_QM_Kc/pF5BiVP.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+kt 120 m²","Pplk. Nováčka, Praha 9 - Běchovice","17 000 000 CZK","https://sreality.cz/en/detail/sale/flat/4+kt/praha-bechovice-pplk--novacka/1824429388","https://d18-a.sdn.cz/d_18/c_img_QJ_Jq/9UpnvJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 82 m²","Luční, Smržovka","2 980 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/smrzovka-smrzovka-lucni/4138640716","https://d18-a.sdn.cz/d_18/c_img_QJ_Jp/PQsBQll.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 2+kt 57 m²","Václava Trojana, Praha 10 - Uhříněves","6 350 000 CZK","https://sreality.cz/en/detail/sale/flat/2+kt/praha-uhrineves-vaclava-trojana/4021458252","https://d18-a.sdn.cz/d_18/c_img_QO_K4/qinDnO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 3+1 77 m²","Vondroušova, Praha 6 - Řepy","6 590 000 CZK","https://sreality.cz/en/detail/sale/flat/3+1/praha-repy-vondrousova/2002023500","https://d18-a.sdn.cz/d_18/c_img_QM_Kb/wr3BFZa.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 4+1 196 m²","Rooseveltova, Praha 6 - Bubeneč","32 900 000 CZK","https://sreality.cz/en/detail/sale/flat/4+1/praha-bubenec-rooseveltova/2425599308","https://d18-a.sdn.cz/d_18/c_img_QO_K2/3FdBZ7n.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
"For sale apartment 1+kt 30 m²","Příčná, Praha 1 - Nové Město","4 800 000 CZK","https://sreality.cz/en/detail/sale/flat/1+kt/praha-nove-mesto-pricna/2534036556","https://d18-a.sdn.cz/d_18/c_img_QO_K1/TnZsHy.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
